order_item_id,order_id,product_id,quantity,unit_price,total_price
1,2977,178,1,300.0,300.0
2,1249,63,2,990.3,1980.6
3,4650,125,1,1197.53,1197.53
4,4836,85,10,1442.27,14422.7
5,4365,199,2,167.69,335.38
6,186,166,4,916.49,3665.96
7,3443,213,6,171.46,1028.76
8,4965,94,8,989.11,7912.88
9,3194,193,10,100.58,1005.8
10,4929,60,9,190.3,1712.7
11,1413,116,10,1631.98,16319.8
12,3189,147,7,100.8,705.6
13,2917,202,4,93.31,373.24
14,1016,139,7,143.08,1001.56
15,4538,244,1,115.57,115.57
16,4135,208,10,315.34,3153.4
17,4262,162,6,150.07,900.42
18,1936,242,1,1963.04,1963.04
19,1469,139,8,143.08,1144.64
20,4539,138,4,1619.87,6479.48
21,4427,60,8,190.3,1522.4
22,1359,129,8,962.56,7700.48
23,1770,133,2,161.86,323.72
24,2762,155,6,298.27,1789.62
25,2883,165,10,451.83,4518.3
26,1190,215,4,1924.02,7696.08
27,1193,51,3,125.78,377.34
28,2817,103,9,186.36,1677.24
29,3622,142,10,318.82,3188.2
30,4857,56,9,1005.85,9052.65
31,1043,226,2,182.34,364.68
32,226,89,5,208.44,1042.2
33,1979,94,10,989.11,9891.1
34,3978,231,10,187.14,1871.4
35,3832,238,7,204.45,1431.15
36,2645,181,9,300.0,2700.0
37,1884,156,8,1205.35,9642.8
38,541,83,10,504.0,5040.0
39,646,57,4,1709.37,6837.48
40,4802,81,3,770.0,2310.0
41,4727,195,1,297.99,297.99
42,4287,217,1,1681.75,1681.75
43,1689,124,9,2883.5,25951.5
44,855,233,4,955.41,3821.64
45,405,86,8,200.0,1600.0
46,3344,232,4,1474.3,5897.2
47,2478,85,6,1442.27,8653.62
48,520,59,4,154.29,617.16
49,2941,119,2,1099.59,2199.18
50,1408,167,1,100.84,100.84
51,821,240,8,167.69,1341.52
52,3675,211,6,1220.52,7323.12
53,4531,144,1,504.52,504.52
54,3836,121,5,158.19,790.95
55,4068,194,3,306.71,920.13
56,3288,172,2,1927.62,3855.24
57,2182,110,3,1049.02,3147.06
58,4715,195,2,297.99,595.98
59,3233,238,10,204.45,2044.5
60,425,85,2,1442.27,2884.54
61,1552,230,1,118.96,118.96
62,358,210,3,62.23,186.69
63,3447,200,3,258.56,775.68
64,1595,241,4,120.0,480.0
65,1011,87,3,2959.42,8878.26
66,197,246,8,1247.02,9976.16
67,1034,207,4,176.5,706.0
68,862,193,10,100.58,1005.8
69,349,231,1,187.14,187.14
70,3778,236,2,2177.26,4354.52
71,1659,153,7,718.73,5031.11
72,575,141,6,195.48,1172.88
73,1820,55,9,1736.62,15629.58
74,931,182,6,975.0,5850.0
75,4009,141,2,195.48,390.96
76,4683,50,8,86.05,688.4
77,484,63,9,990.3,8912.7
78,3913,132,5,200.0,1000.0
79,358,80,6,114.11,684.66
80,4481,228,4,1229.62,4918.48
81,254,170,2,126.43,252.86
82,3995,128,5,142.27,711.35
83,835,196,5,1443.65,7218.25
84,1191,151,1,180.0,180.0
85,1704,81,5,770.0,3850.0
86,4892,106,1,152.29,152.29
87,4565,80,3,114.11,342.33
88,493,107,9,685.62,6170.58
89,3410,203,4,166.41,665.64
90,4147,97,9,1122.42,10101.78
91,3128,172,6,1927.62,11565.72
92,2121,90,1,120.0,120.0
93,3866,202,3,93.31,279.93
94,52,224,3,2101.12,6303.36
95,262,231,4,187.14,748.56
96,3003,170,10,126.43,1264.3
97,1909,234,4,76.5,306.0
98,3647,249,8,635.04,5080.32
99,2378,110,3,1049.02,3147.06
100,3395,181,4,300.0,1200.0
101,4337,208,3,315.34,946.02
102,1626,169,7,1908.92,13362.44
103,1229,145,6,98.38,590.28
104,4387,161,1,78.03,78.03
105,1390,244,10,115.57,1155.7
106,1488,90,1,120.0,120.0
107,917,75,6,1254.27,7525.62
108,2142,245,3,1433.1,4299.3
109,711,243,9,98.66,887.94
110,1887,68,2,206.13,412.26
111,2217,136,3,855.93,2567.79
112,1321,74,9,264.38,2379.42
113,2564,96,6,236.57,1419.42
114,4446,248,1,1650.28,1650.28
115,4832,57,2,1709.37,3418.74
116,2627,52,7,120.0,840.0
117,401,82,6,2325.76,13954.56
118,751,161,1,78.03,78.03
119,4917,205,10,126.31,1263.1
120,1888,71,2,385.81,771.62
121,3686,148,6,385.47,2312.82
122,1419,147,6,100.8,604.8
123,2604,79,6,181.74,1090.44
124,3772,96,9,236.57,2129.13
125,2019,213,2,171.46,342.92
126,2037,108,10,1476.36,14763.6
127,1646,63,10,990.3,9903.0
128,3488,122,9,200.0,1800.0
129,814,154,9,1180.22,10621.98
130,4734,63,10,990.3,9903.0
131,3170,233,9,955.41,8598.69
132,1024,201,9,137.0,1233.0
133,1510,98,3,180.0,540.0
134,2039,220,10,177.87,1778.7
135,1394,52,9,120.0,1080.0
136,2347,72,10,120.0,1200.0
137,856,197,9,578.36,5205.24
138,1167,158,3,278.02,834.06
139,2755,192,4,193.9,775.6
140,1666,92,4,2549.04,10196.16
141,4039,120,4,163.07,652.28
142,1973,210,7,62.23,435.61
143,3688,104,5,1078.47,5392.35
144,1117,175,7,1543.07,10801.49
145,3369,131,6,272.23,1633.38
146,4543,90,7,120.0,840.0
147,734,195,8,297.99,2383.92
148,3784,180,6,138.4,830.4
149,2922,52,9,120.0,1080.0
150,3330,149,4,120.0,480.0
151,4618,193,5,100.58,502.9
152,1707,220,9,177.87,1600.83
153,3499,72,9,120.0,1080.0
154,1125,192,2,193.9,387.8
155,4718,176,2,188.3,376.6
156,4855,107,9,685.62,6170.58
157,1859,217,6,1681.75,10090.5
158,2292,167,8,100.84,806.72
159,2514,215,8,1924.02,15392.16
160,4961,166,8,916.49,7331.92
161,3516,131,5,272.23,1361.15
162,2001,151,10,180.0,1800.0
163,1798,183,4,120.0,480.0
164,2317,157,3,800.0,2400.0
165,2581,95,4,172.18,688.72
166,2015,55,8,1736.62,13892.96
167,2168,172,4,1927.62,7710.48
168,3029,141,8,195.48,1563.84
169,1948,197,8,578.36,4626.88
170,1144,68,1,206.13,206.13
171,4806,63,9,990.3,8912.7
172,4232,114,3,61.9,185.7
173,3149,145,6,98.38,590.28
174,936,206,3,173.37,520.11
175,3158,208,9,315.34,2838.06
176,1,202,1,93.31,93.31
177,77,248,7,1650.28,11551.96
178,2629,95,5,172.18,860.9
179,2196,229,3,180.0,540.0
180,574,65,7,116.11,812.77
181,1549,157,1,800.0,800.0
182,186,188,6,2097.81,12586.86
183,4618,67,7,110.28,771.96
184,3843,157,9,800.0,7200.0
185,3493,233,9,955.41,8598.69
186,2244,233,7,955.41,6687.87
187,34,234,5,76.5,382.5
188,1621,118,7,1531.08,10717.56
189,1897,169,1,1908.92,1908.92
190,2456,243,7,98.66,690.62
191,1801,137,10,210.59,2105.9
192,4633,139,4,143.08,572.32
193,2084,65,2,116.11,232.22
194,1406,151,6,180.0,1080.0
195,3689,183,7,120.0,840.0
196,2653,229,7,180.0,1260.0
197,4539,174,8,1178.06,9424.48
198,1187,169,5,1908.92,9544.6
199,4134,232,10,1474.3,14743.0
200,2140,125,10,1197.53,11975.3
201,2679,122,8,200.0,1600.0
202,3795,226,4,182.34,729.36
203,2720,249,10,635.04,6350.4
204,4603,233,1,955.41,955.41
205,2227,90,8,120.0,960.0
206,2332,248,4,1650.28,6601.12
207,4024,155,5,298.27,1491.35
208,4451,233,4,955.41,3821.64
209,3369,170,7,126.43,885.01
210,3958,138,10,1619.87,16198.7
211,488,240,3,167.69,503.07
212,279,167,2,100.84,201.68
213,2592,205,10,126.31,1263.1
214,650,208,2,315.34,630.68
215,2979,232,7,1474.3,10320.1
216,355,229,10,180.0,1800.0
217,2243,115,6,200.0,1200.0
218,4900,95,2,172.18,344.36
219,2481,157,8,800.0,6400.0
220,558,53,6,272.24,1633.44
221,3487,199,8,167.69,1341.52
222,162,222,6,305.74,1834.44
223,699,205,4,126.31,505.24
224,1974,187,8,2312.07,18496.56
225,3545,243,4,98.66,394.64
226,3778,226,6,182.34,1094.04
227,2206,144,5,504.52,2522.6
228,492,155,4,298.27,1193.08
229,1993,129,7,962.56,6737.92
230,1033,100,8,1359.23,10873.84
231,3284,220,6,177.87,1067.22
232,3511,183,1,120.0,120.0
233,4920,170,7,126.43,885.01
234,4775,202,4,93.31,373.24
235,786,53,2,272.24,544.48
236,1834,201,3,137.0,411.0
237,992,233,10,955.41,9554.1
238,4207,140,4,120.0,480.0
239,1784,232,7,1474.3,10320.1
240,1185,103,9,186.36,1677.24
241,2462,52,10,120.0,1200.0
242,1669,224,6,2101.12,12606.72
243,2314,79,10,181.74,1817.4
244,572,125,5,1197.53,5987.65
245,4301,90,9,120.0,1080.0
246,3739,155,8,298.27,2386.16
247,584,232,8,1474.3,11794.4
248,2221,108,8,1476.36,11810.88
249,308,89,8,208.44,1667.52
250,4546,94,8,989.11,7912.88
251,62,199,10,167.69,1676.9
252,4571,64,10,2100.9,21009.0
253,3789,66,7,120.0,840.0
254,2134,236,2,2177.26,4354.52
255,1960,157,2,800.0,1600.0
256,2033,74,5,264.38,1321.9
257,3763,92,6,2549.04,15294.24
258,2787,241,9,120.0,1080.0
259,1543,228,1,1229.62,1229.62
260,1676,110,7,1049.02,7343.14
261,4622,222,7,305.74,2140.18
262,34,180,8,138.4,1107.2
263,3962,213,1,171.46,171.46
264,2800,241,10,120.0,1200.0
265,1856,77,4,2171.8,8687.2
266,3681,156,10,1205.35,12053.5
267,2686,173,5,150.55,752.75
268,1058,222,2,305.74,611.48
269,4502,133,2,161.86,323.72
270,2962,198,4,178.51,714.04
271,4389,76,3,180.0,540.0
272,2628,132,7,200.0,1400.0
273,3821,149,7,120.0,840.0
274,3158,125,2,1197.53,2395.06
275,3644,84,5,1133.92,5669.6
276,3763,225,5,300.0,1500.0
277,2132,146,8,129.46,1035.68
278,607,149,8,120.0,960.0
279,2356,200,4,258.56,1034.24
280,2300,241,10,120.0,1200.0
281,3917,62,1,471.39,471.39
282,4276,207,6,176.5,1059.0
283,1334,197,7,578.36,4048.52
284,4009,55,1,1736.62,1736.62
285,2474,196,8,1443.65,11549.2
286,3558,244,9,115.57,1040.13
287,3734,123,8,2653.9,21231.2
288,2087,59,3,154.29,462.87
289,3351,233,9,955.41,8598.69
290,4912,70,10,60.12,601.2
291,376,176,3,188.3,564.9
292,1953,105,4,135.41,541.64
293,3711,106,6,152.29,913.74
294,2089,179,7,206.88,1448.16
295,1694,88,8,2094.34,16754.72
296,3556,110,7,1049.02,7343.14
297,4281,222,3,305.74,917.22
298,72,159,2,120.0,240.0
299,1775,205,2,126.31,252.62
300,574,195,9,297.99,2681.91
301,4665,63,7,990.3,6932.1
302,4067,232,7,1474.3,10320.1
303,3708,108,5,1476.36,7381.8
304,153,158,6,278.02,1668.12
305,729,196,7,1443.65,10105.55
306,2280,90,9,120.0,1080.0
307,1553,189,10,1222.15,12221.5
308,3664,197,4,578.36,2313.44
309,3568,211,6,1220.52,7323.12
310,4272,174,1,1178.06,1178.06
311,4345,85,7,1442.27,10095.89
312,3107,70,4,60.12,240.48
313,4897,105,2,135.41,270.82
314,1000,90,4,120.0,480.0
315,1135,176,8,188.3,1506.4
316,4743,218,2,107.92,215.84
317,3146,220,1,177.87,177.87
318,2716,155,1,298.27,298.27
319,354,249,7,635.04,4445.28
320,1303,135,7,130.64,914.48
321,4083,87,4,2959.42,11837.68
322,3732,195,5,297.99,1489.95
323,4622,57,5,1709.37,8546.85
324,510,243,7,98.66,690.62
325,1538,197,3,578.36,1735.08
326,178,246,5,1247.02,6235.1
327,2377,234,7,76.5,535.5
328,801,155,7,298.27,2087.89
329,3244,195,9,297.99,2681.91
330,3667,157,4,800.0,3200.0
331,938,237,1,153.8,153.8
332,3028,179,5,206.88,1034.4
333,2021,219,4,146.6,586.4
334,2783,113,3,109.15,327.45
335,3541,93,7,125.16,876.12
336,1975,228,9,1229.62,11066.58
337,1519,150,4,106.47,425.88
338,2670,155,6,298.27,1789.62
339,1259,114,1,61.9,61.9
340,3111,114,1,61.9,61.9
341,1243,167,3,100.84,302.52
342,2754,173,5,150.55,752.75
343,2676,231,6,187.14,1122.84
344,3673,157,9,800.0,7200.0
345,420,144,9,504.52,4540.68
346,653,216,10,202.38,2023.8
347,2872,185,1,1384.68,1384.68
348,3246,116,2,1631.98,3263.96
